# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1769610628894000000,1769610688895000000,0
FilePageCache.pageFastCacheHits,1769610628894000000,1769610688895000000,40
DirectByteBufferAllocator.reclaimed,1769610628894000000,1769610688895000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1769610628894000000,1769610688895000000,0
MappedFileStorage.totalBytesMapped,1769610628894000000,1769610688895000000,273940480
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1769610628894000000,1769610688895000000,112
FilePageCacheLockFree.totalPageAllocationsWaited,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1769610628894000000,1769610688895000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1769610628894000000,1769610688895000000,11057
StorageLockContext.competingThreads.90P,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalPagesWritten,1769610628894000000,1769610688895000000,0
DirectByteBufferAllocator.hits,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.nativeBytesInUse,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalPagesRequested,1769610628894000000,1769610688895000000,0
StorageLockContext.competingThreads.max,1769610628894000000,1769610688895000000,0
MappedFileStorage.storages,1769610628894000000,1769610688895000000,15
FilePageCacheLockFree.totalPagesHandedOver,1769610628894000000,1769610688895000000,0
FilePageCache.disposedBuffers,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalBytesRequested,1769610628894000000,1769610688895000000,0
FilePageCache.totalPageDisposalsUs,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.heapBytesInUse,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalPagesReadMs,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1769610628894000000,1769610688895000000,0
DirectByteBufferAllocator.disposed,1769610628894000000,1769610688895000000,0
FilePageCache.pageLoads,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalPagesReclaimed,1769610628894000000,1769610688895000000,0
FilePageCache.capacityInBytes,1769610628894000000,1769610688895000000,503316478
StreamlinedBlobStorage.recordsAllocated,1769610628894000000,1769610688895000000,10
FilePageCacheLockFree.totalBytesRead,1769610628894000000,1769610688895000000,0
StreamlinedBlobStorage.recordsDeleted,1769610628894000000,1769610688895000000,0
FilePageCache.pageHits,1769610628894000000,1769610688895000000,0
FilePageCache.maxRegisteredFiles,1769610628894000000,1769610688895000000,252
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1769610628894000000,1769610688895000000,700
FilePageCacheLockFree.totalPagesRequestsMs,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1769610628894000000,1769610688895000000,0
MappedFileStorage.totalPagesMapped,1769610628894000000,1769610688895000000,21
FilePageCache.pageLoadsAboveSizeThreshold,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.totalBytesWritten,1769610628894000000,1769610688895000000,0
FilePageCache.maxCacheSizeInBytes,1769610628894000000,1769610688895000000,179372032
FilePageCache.totalPageLoadsUs,1769610628894000000,1769610688895000000,0
DirectByteBufferAllocator.misses,1769610628894000000,1769610688895000000,0
StreamlinedBlobStorage.recordsRelocated,1769610628894000000,1769610688895000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1769610628894000000,1769610688895000000,0
Indexing.cache.totalCacheEvicted,1769610688895000000,1769610748894000000,0
Indexing.writesQueuedMax,1769610688895000000,1769610748894000000,0
Indexes.stubs.lookups,1769610688895000000,1769610748894000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1769610688895000000,1769610748894000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1769610688895000000,1769610748894000000,0
Indexes.allKeys.lookupDurationMaxMs,1769610688895000000,1769610748894000000,0.0
Indexes.entries.lookupDurationMaxMs,1769610688895000000,1769610748894000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1769610688895000000,1769610748894000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1769610688895000000,1769610748894000000,0
Indexes.allKeys.lookups,1769610688895000000,1769610748894000000,0
Indexes.entries.lookups,1769610688895000000,1769610748894000000,0
Indexing.cache.totalCacheAccesses,1769610688895000000,1769610748894000000,0
Indexes.entries.lookupDuration90PMs,1769610688895000000,1769610748894000000,0.0
IndexesFlusher.totalFlushingTimeUs,1769610688895000000,1769610748894000000,33411
Indexing.totalTimeIndexersSleptMs,1769610688895000000,1769610748894000000,0
IndexesFlusher.totalContentionQuotaSpent,1769610688895000000,1769610748894000000,0
Indexes.allKeys.lookupDuration90PMs,1769610688895000000,1769610748894000000,0.0
Indexes.entries.lookupDurationAvgMs,1769610688895000000,1769610748894000000,0.0
IndexesFlusher.totalFlushes,1769610688895000000,1769610748894000000,120
Indexes.stubs.lookupDurationMaxMs,1769610688895000000,1769610748894000000,0.0
Indexes.stubs.lookupDuration90PMs,1769610688895000000,1769610748894000000,0.0
Indexing.cache.totalCacheMisses,1769610688895000000,1769610748894000000,0
Indexes.stubs.lookupDurationAvgMs,1769610688895000000,1769610748894000000,0.0
IndexesFlusher.totalFlushesRetried,1769610688895000000,1769610748894000000,0
Indexes.allKeys.lookupDurationAvgMs,1769610688895000000,1769610748894000000,0.0
Indexing.writesQueuedMin,1769610688895000000,1769610748894000000,9223372036854775807
JVM.maxThreadCount,1769610688895000000,1769610748894000000,148
JVM.GC.collectionTimesMs,1769610688895000000,1769610748894000000,5
JVM.GC.collections,1769610688895000000,1769610748894000000,1
OS.loadAverage,1769610688895000000,1769610748894000000,1.67578125
JVM.totalSafepointCount,1769610688895000000,1769610748894000000,3
JVM.threadCount,1769610688895000000,1769610748894000000,54
JVM.totalTimeAtSafepointsMs,1769610688895000000,1769610748894000000,5
JVM.newThreadsCount,1769610688895000000,1769610748894000000,1
JVM.totalBytesAllocated,1769610688895000000,1769610748894000000,27014136
JVM.totalCpuTimeMs,1769610688895000000,1769610748894000000,660
JVM.usedNativeBytes,1769610688895000000,1769610748894000000,463523632
JVM.maxHeapBytes,1769610688895000000,1769610748894000000,4196401152
JVM.totalDirectByteBuffersBytes,1769610688895000000,1769610748894000000,180295229
JVM.totalTimeToSafepointsMs,1769610688895000000,1769610748894000000,0
JVM.usedHeapBytes,1769610688895000000,1769610748894000000,518101680
AWTEventQueue.dispatchTimeTotalNS,1769610688895000000,1769610748894000000,72585290
FlushQueue.executionTimeAvgNs,1769610688895000000,1769610748894000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1769610688895000000,1769610748894000000,0
FlushQueue.queueSizeMax,1769610688895000000,1769610748894000000,0
ReadAction.executionsCount,1769610688895000000,1769610748894000000,0
FlushQueue.waitingTimeAvgNs,1769610688895000000,1769610748894000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1769610688895000000,1769610748894000000,23807
FlushQueue.tasksExecuted,1769610688895000000,1769610748894000000,0
WriteAction.executionsCount,1769610688895000000,1769610748894000000,0
AWTEventQueue.dispatchTimeAvgNs,1769610688895000000,1769610748894000000,23744.0
NonBlockingReadAction.finalizedExecutionsCount,1769610688895000000,1769610748894000000,0
AWTEventQueue.eventsDispatched,1769610688895000000,1769610748894000000,1
FlushQueue.queueSizeAvg,1769610688895000000,1769610748894000000,0.0
FlushQueue.executionTimeMaxNs,1769610688895000000,1769610748894000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1769610688895000000,1769610748894000000,0
NonBlockingReadAction.failedExecutionsCount,1769610688895000000,1769610748894000000,0
FlushQueue.queueSize90P,1769610688895000000,1769610748894000000,0
FlushQueue.waitingTime90PNs,1769610688895000000,1769610748894000000,0
AWTEventQueue.dispatchTime90PNs,1769610688895000000,1769610748894000000,23807
FlushQueue.waitingTimeMaxNs,1769610688895000000,1769610748894000000,0
FlushQueue.executionTime90PNs,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsUncompressedSize,1769610688895000000,1769610748894000000,0
VFS.fileByIdCache.misses,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsReadDecompressed,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsStoredSize,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsReadSize,1769610688895000000,1769610748894000000,0
FileNameCache.queries,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsDeduplicated,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsRead,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsStored,1769610688895000000,1769610748894000000,0
VFS.invertedFileNameIndex.requests,1769610688895000000,1769610748894000000,0
VFS.contentStorage.recordsStoredCompressed,1769610688895000000,1769610748894000000,0
VFS.fileChildByName,1769610688895000000,1769610748894000000,0
VFS.fileByIdCache.hits,1769610688895000000,1769610748894000000,0
FileNameCache.totalMisses,1769610688895000000,1769610748894000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1769610688895000000,1769610748894000000,0
jps.apply.loaded.storage.ms,1769610688895000000,1769610748894000000,0
jps.global.handle.changed.events.ms,1769610688895000000,1769610748894000000,0
jps.global.initialize.library.bridges.ms,1769610688895000000,1769610748894000000,0
jps.facet.change.listener.init.bridge.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1769610688895000000,1769610748894000000,0
jps.module.iml.entities.serializer.load.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1769610688895000000,1769610748894000000,0
jps.library.entities.serializer.load.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.global.updates.ms,1769610688895000000,1769610748894000000,0
jps.project.serializers.save.ms,1769610688895000000,1769610748894000000,0
jps.artifact.entities.serializer.save.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1769610688895000000,1769610748894000000,0
jps.save.changed.project.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.load.cache.metadata.from.file.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1769610688895000000,1769610748894000000,0
workspaceModel.global.updates.count,1769610688895000000,1769610748894000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1769610688895000000,1769610748894000000,0
workspaceModel.sync.entities.ms,1769610688895000000,1769610748894000000,0
jps.facet.change.listener.process.change.events.ms,1769610688895000000,1769610748894000000,0
jps.global.get.libraries.ms,1769610688895000000,1769610748894000000,0
jps.app.storage.content.writer.save.component.ms,1769610688895000000,1769610748894000000,0
workspaceModel.global.apply.state.to.project.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleBridge.update.option.ms,1769610688895000000,1769610748894000000,0
jps.library.entities.serializer.save.entities.ms,1769610688895000000,1769610748894000000,0
jps.global.handle.before.change.events.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1769610688895000000,1769610748894000000,0
workspaceModel.orphan.listener.update.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1769610688895000000,1769610748894000000,0
jps.global.get.library.by.name.ms,1769610688895000000,1769610748894000000,0
jps.save.global.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleBridge.before.changed.ms,1769610688895000000,1769610748894000000,0
jps.global.get.library.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1769610688895000000,1769610748894000000,0
jps.storage.jps.conf.reader.load.component.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1769610688895000000,1769610748894000000,0
workspaceModel.do.save.caches.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1769610688895000000,1769610748894000000,0
jps.reload.project.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1769610688895000000,1769610748894000000,0
jps.global.initialize.library.bridges.after.loading.ms,1769610688895000000,1769610748894000000,0
workspaceModel.save.cache.to.file.ms,1769610688895000000,1769610748894000000,0
jps.load.project.to.empty.storage.ms,1769610688895000000,1769610748894000000,0
jps.project.serializers.load.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1769610688895000000,1769610748894000000,0
jps.artifact.entities.serializer.load.entities.ms,1769610688895000000,1769610748894000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1769610688895000000,1769610748894000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1769610688895000000,1769610748894000000,0
jps.module.iml.entities.serializer.save.entities.ms,1769610688895000000,1769610748894000000,0
